ID,Alimento,Descrição dos alimentos,Umidade (%),Energia (kcal),Energia (kJ),Proteína (g),Lipídeos (g),Colesterol (mg),Carboidrato (g),Fibra Alimentar (g),Cinzas (g),Cálcio (mg),Magnésio (mg)
1,Arroz integral cozido,70.1,124,517,2.6,1.0,NA,25.8,2.7,0.5,5,59
3,Arroz tipo 1 cozido,69.1,128,537,2.5,0.2,NA,28.1,1.6,0.1,4,2
5,Arroz tipo 2 cozido,68.7,130,544,2.6,0.4,NA,28.2,1.1,0.1,3,6
7,Aveia flocos crua,9.1,394,1648,13.9,8.5,NA,66.6,9.1,1.8,48,119
31,Farinha de arroz enriquecida,12.7,363,1519,1.3,0.3,NA,85.5,0.6,0.2,1,4
32,Farinha de centeio integral,10.8,336,1405,12.5,1.8,NA,73.3,15.5,1.7,34,120
33,Farinha de milho amarela,11.8,351,1467,7.2,1.5,NA,79.1,5.5,0.5,1,31
34,Farinha de rosca,9.8,371,1550,11.4,1.5,NA,75.8,4.8,1.6,35,57
35,Farinha de trigo,13.0,360,1508,9.8,1.4,NA,75.1,2.3,0.8,18,31
36,Farinha láctea de cereais,2.7,415,1736,11.9,5.8,11,77.8,1.9,1.9,196,58

162,Vagem crua,92.2,25,104,1.8,0.2,NA,5.3,2.4,0.5,41,18